OBJECTID,Shape,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,City,Shape_Length,Shape_Area
113,,26,163,543800,26163543800,5438,Census Tract 5438,G5020,S,999331,0,+42.3894072,-083.2540332,Detroit,13339.69203,10755561.14
114,,26,163,543700,26163543700,5437,Census Tract 5437,G5020,S,1324931,0,+42.3894635,-083.2386147,Detroit,18354.71964,14259894.54
115,,26,163,543600,26163543600,5436,Census Tract 5436,G5020,S,1404089,0,+42.3968066,-083.2510232,Detroit,16729.1983,15111785.45
116,,26,163,543500,26163543500,5435,Census Tract 5435,G5020,S,934313,0,+42.4040427,-083.2498756,Detroit,12898.61308,10055779.25
117,,26,163,543400,26163543400,5434,Census Tract 5434,G5020,S,1062119,0,+42.4015679,-083.2374736,Detroit,15694.60076,11431289.54
118,,26,163,504100,26163504100,5041,Census Tract 5041,G5020,S,738734,0,+42.4153882,-082.9679696,Detroit,15563.06424,7950813.13
119,,26,163,504000,26163504000,5040,Census Tract 5040,G5020,S,632070,0,+42.4169793,-082.9776759,Detroit,10410.1822,6802787.047
120,,26,163,503900,26163503900,5039,Census Tract 5039,G5020,S,983950,0,+42.4134536,-082.9873463,Detroit,15005.58294,10589999.86
121,,26,163,503600,26163503600,5036,Census Tract 5036,G5020,S,738902,0,+42.4249818,-082.9967805,Detroit,15093.2073,7952576.502
122,,26,163,503500,26163503500,5035,Census Tract 5035,G5020,S,1615235,0,+42.4312541,-082.9922641,Detroit,18782.21334,17384291.5
123,,26,163,503400,26163503400,5034,Census Tract 5034,G5020,S,670279,0,+42.4389974,-082.9801546,Detroit,11076.32412,7213987.404
124,,26,163,503300,26163503300,5033,Census Tract 5033,G5020,S,1298176,0,+42.4383158,-082.9950446,Detroit,15869.70215,13971841.81
125,,26,163,503200,26163503200,5032,Census Tract 5032,G5020,S,1271340,0,+42.4454982,-082.9953169,Detroit,15785.59891,13683015.61
126,,26,163,503100,26163503100,5031,Census Tract 5031,G5020,S,980539,0,+42.4461391,-082.9778891,Detroit,13748.24421,10553242.02
127,,26,163,502000,26163502000,5020,Census Tract 5020,G5020,S,894356,0,+42.3932938,-082.9469658,Detroit,13137.46267,9625788.96
128,,26,163,501900,26163501900,5019,Census Tract 5019,G5020,S,742662,0,+42.3952603,-082.9401000,Detroit,12635.55447,7993133.487
1,,26,163,524800,26163524800,5248,Census Tract 5248,G5020,S,1118325,0,+42.2630997,-083.1615912,Detroit,14666.80217,12036757.66
2,,26,163,521900,26163521900,5219,Census Tract 5219,G5020,S,1692449,0,+42.3503993,-083.0805337,Detroit,22567.22661,18215569.82
3,,26,163,521800,26163521800,5218,Census Tract 5218,G5020,S,224907,0,+42.3461214,-083.0712523,Detroit,6800.035307,2420653.532
4,,26,163,521500,26163521500,5215,Census Tract 5215,G5020,S,1507941,0,+42.3368603,-083.0763920,Detroit,18245.53627,16229879.41
5,,26,163,521400,26163521400,5214,Census Tract 5214,G5020,S,1305626,0,+42.3305838,-083.0730165,Detroit,18164.81096,14052350.64
6,,26,163,521300,26163521300,5213,Census Tract 5213,G5020,S,969178,0,+42.3341230,-083.0929489,Detroit,15651.78458,10431171.58
7,,26,163,521100,26163521100,5211,Census Tract 5211,G5020,S,1600031,117811,+42.3208768,-083.0808652,Detroit,21869.61747,18489084.75
8,,26,163,985300,26163985300,9853,Census Tract 9853,G5020,S,1105371,379735,+42.3203926,-083.0701382,Detroit,20447.94163,15984165.14
9,,26,163,520800,26163520800,5208,Census Tract 5208,G5020,S,1348294,686823,+42.3254678,-083.0537969,Detroit,22388.55869,21903999.06
10,,26,163,520700,26163520700,5207,Census Tract 5207,G5020,S,767428,0,+42.3347168,-083.0554556,Detroit,12492.64753,8259743.069
11,,26,163,520400,26163520400,5204,Census Tract 5204,G5020,S,409578,0,+42.3481561,-083.0675930,Detroit,9228.842883,4408277.485
12,,26,163,520300,26163520300,5203,Census Tract 5203,G5020,S,451117,0,+42.3497881,-083.0627334,Detroit,9324.066129,4855334.668
13,,26,163,516900,26163516900,5169,Census Tract 5169,G5020,S,615129,0,+42.3446547,-083.0302450,Detroit,10875.92768,6620552.823
14,,26,163,516800,26163516800,5168,Census Tract 5168,G5020,S,983256,0,+42.3560005,-083.0254934,Detroit,15893.74127,10582697.76
15,,26,163,516700,26163516700,5167,Census Tract 5167,G5020,S,1199188,0,+42.3483954,-083.0210206,Detroit,15183.77985,12906746.49
16,,26,163,516600,26163516600,5166,Census Tract 5166,G5020,S,691101,0,+42.3413645,-083.0201887,Detroit,14034.16715,7438277.882
17,,26,163,516500,26163516500,5165,Census Tract 5165,G5020,S,1338782,1045874,+42.3375655,-083.0148583,Detroit,25762.64089,25665913.42
18,,26,163,516400,26163516400,5164,Census Tract 5164,G5020,S,1030497,0,+42.3508558,-083.0096137,Detroit,13910.10205,11091127.15
19,,26,163,516300,26163516300,5163,Census Tract 5163,G5020,S,619160,0,+42.3595713,-083.0152242,Detroit,10291.31476,6663933.331
20,,26,163,516200,26163516200,5162,Census Tract 5162,G5020,S,565213,0,+42.3661558,-083.0189390,Detroit,10562.49952,6083282.544
21,,26,163,516100,26163516100,5161,Census Tract 5161,G5020,S,1349362,0,+42.3756603,-083.0258411,Detroit,16999.6569,14522918.47
22,,26,163,515700,26163515700,5157,Census Tract 5157,G5020,S,1208050,1059803,+42.3530390,-082.9871415,Detroit,22676.57458,24408802.24
23,,26,163,515600,26163515600,5156,Census Tract 5156,G5020,S,864898,0,+42.3639483,-082.9917654,Detroit,14751.77993,9308826.423
24,,26,163,515400,26163515400,5154,Census Tract 5154,G5020,S,902465,0,+42.3609676,-082.9963793,Detroit,15915.42907,9713123.646
25,,26,163,515300,26163515300,5153,Census Tract 5153,G5020,S,795120,0,+42.3532902,-083.0005510,Detroit,11786.06119,8557810.046
26,,26,163,515200,26163515200,5152,Census Tract 5152,G5020,S,929506,0,+42.3616627,-083.0056672,Detroit,12740.28141,10004154.11
27,,26,163,514500,26163514500,5145,Census Tract 5145,G5020,S,563936,0,+42.3753160,-082.9999028,Detroit,10649.60458,6069547.354
28,,26,163,520200,26163520200,5202,Census Tract 5202,G5020,S,826138,0,+42.3572141,-083.0699378,Detroit,11956.53645,8891602.894
29,,26,163,518800,26163518800,5188,Census Tract 5188,G5020,S,1415467,0,+42.3597016,-083.0372366,Detroit,16500.36687,15234530.47
30,,26,163,518600,26163518600,5186,Census Tract 5186,G5020,S,741602,0,+42.3647264,-083.0294479,Detroit,12071.52612,7981736.232
31,,26,163,518500,26163518500,5185,Census Tract 5185,G5020,S,800479,0,+42.3732892,-083.0345719,Detroit,11956.38294,8615388.75
32,,26,163,518400,26163518400,5184,Census Tract 5184,G5020,S,1056546,0,+42.3698286,-083.0441079,Detroit,13483.2564,11371453.44
33,,26,163,518000,26163518000,5180,Census Tract 5180,G5020,S,851150,0,+42.3624987,-083.0613713,Detroit,12281.85711,9160801.303
34,,26,163,517500,26163517500,5175,Census Tract 5175,G5020,S,1101313,0,+42.3541327,-083.0560746,Detroit,13910.91254,11853296.09
35,,26,163,517200,26163517200,5172,Census Tract 5172,G5020,S,1632385,447536,+42.3338393,-083.0390113,Detroit,24549.78005,22386149.67
36,,26,163,517100,26163517100,5171,Census Tract 5171,G5020,S,280696,0,+42.3358287,-083.0330442,Detroit,7298.636009,3021114.647
37,,26,163,517000,26163517000,5170,Census Tract 5170,G5020,S,574447,0,+42.3408105,-083.0361037,Detroit,11091.59674,6182727.652
38,,26,163,514300,26163514300,5143,Census Tract 5143,G5020,S,2019290,0,+42.3888619,-082.9934067,Detroit,21469.71046,21733265.8
39,,26,163,514100,26163514100,5141,Census Tract 5141,G5020,S,1609639,0,+42.3798303,-082.9893988,Detroit,16882.69137,17324284.52
40,,26,163,513900,26163513900,5139,Census Tract 5139,G5020,S,1286288,0,+42.3722151,-082.9837943,Detroit,15452.48309,13844176.33
41,,26,163,513600,26163513600,5136,Census Tract 5136,G5020,S,978906,0,+42.3657136,-082.9802179,Detroit,14326.94442,10535879.46
42,,26,163,513300,26163513300,5133,Census Tract 5133,G5020,S,1616439,1705828,+42.3582384,-082.9413094,Detroit,31790.83122,35757346.34
43,,26,163,513200,26163513200,5132,Census Tract 5132,G5020,S,927895,0,+42.3679701,-082.9383380,Detroit,15524.11933,9986846.033
44,,26,163,512900,26163512900,5129,Census Tract 5129,G5020,S,1514795,0,+42.3755477,-082.9504678,Detroit,16884.67326,16303544.57
45,,26,163,512600,26163512600,5126,Census Tract 5126,G5020,S,1383722,0,+42.3820764,-082.9560601,Detroit,16889.07486,14892766.72
46,,26,163,512400,26163512400,5124,Census Tract 5124,G5020,S,1001617,0,+42.3908867,-082.9560714,Detroit,13272.86553,10780241.84
47,,26,163,512300,26163512300,5123,Census Tract 5123,G5020,S,793826,0,+42.3882982,-082.9663155,Detroit,12532.10304,8543845.148
48,,26,163,512100,26163512100,5121,Census Tract 5121,G5020,S,1193422,0,+42.3989089,-082.9638962,Detroit,14475.47575,12844570.01
49,,26,163,511900,26163511900,5119,Census Tract 5119,G5020,S,1152679,0,+42.3735241,-083.0718813,Detroit,17631.22168,12406104.52
50,,26,163,985900,26163985900,9859,Census Tract 9859,G5020,S,625321,0,+42.3662243,-083.0526570,Detroit,10687.39124,6730219.604
51,,26,163,985200,26163985200,9852,Census Tract 9852,G5020,S,2436034,0,+42.3785776,-082.9715216,Detroit,22530.07369,26218704.26
52,,26,163,511200,26163511200,5112,Census Tract 5112,G5020,S,1342645,0,+42.3763856,-083.0658451,Detroit,18031.07588,14450613.72
53,,26,163,985100,26163985100,9851,Census Tract 9851,G5020,S,2925019,0,+42.3777226,-083.0564328,Detroit,36279.42856,31481360.91
54,,26,163,510700,26163510700,5107,Census Tract 5107,G5020,S,567158,0,+42.3936461,-083.0398776,Detroit,13230.14448,6104170.609
55,,26,163,510600,26163510600,5106,Census Tract 5106,G5020,S,1381368,0,+42.4074065,-083.0465471,Detroit,20485.72961,14867244.62
56,,26,163,510500,26163510500,5105,Census Tract 5105,G5020,S,1433504,0,+42.4086539,-083.0689077,Detroit,17334.38533,15428391.32
57,,26,163,510400,26163510400,5104,Census Tract 5104,G5020,S,1582438,26408,+42.4147480,-083.0760398,Detroit,18557.79108,17315552.05
58,,26,163,508000,26163508000,5080,Census Tract 5080,G5020,S,1780908,0,+42.4392203,-083.1132634,Detroit,19272.40267,19167212.09
59,,26,163,507900,26163507900,5079,Census Tract 5079,G5020,S,1060854,0,+42.4263906,-083.1066037,Detroit,15427.40147,11417635.59
60,,26,163,507800,26163507800,5078,Census Tract 5078,G5020,S,1270564,0,+42.4243919,-083.0970382,Detroit,16811.38348,13674648.44
61,,26,163,546900,26163546900,5469,Census Tract 5469,G5020,S,1151356,0,+42.3739170,-083.2228469,Detroit,18643.62617,12391776.73
62,,26,163,985000,26163985000,9850,Census Tract 9850,G5020,S,703655,0,+42.3453308,-083.1280797,Detroit,14380.67369,7573355.624
63,,26,163,526500,26163526500,5265,Census Tract 5265,G5020,S,971613,0,+42.3481772,-083.1404328,Detroit,13859.51902,10457336.72
64,,26,163,507500,26163507500,5075,Census Tract 5075,G5020,S,893431,0,+42.4432546,-083.0881317,Detroit,13035.2223,9615640.964
65,,26,163,507400,26163507400,5074,Census Tract 5074,G5020,S,1239599,0,+42.4362144,-083.0856365,Detroit,15778.27211,13341337.25
66,,26,163,507300,26163507300,5073,Census Tract 5073,G5020,S,1309881,0,+42.4262623,-083.0877402,Detroit,15595.47658,14097749.45
67,,26,163,507200,26163507200,5072,Census Tract 5072,G5020,S,754611,0,+42.4209193,-083.0737640,Detroit,13071.32969,8121642.514
68,,26,163,507100,26163507100,5071,Census Tract 5071,G5020,S,1079666,0,+42.4277494,-083.0763573,Detroit,13917.11508,11620019.11
69,,26,163,507000,26163507000,5070,Census Tract 5070,G5020,S,1186008,0,+42.4296948,-083.0621938,Detroit,15275.10378,12764601.17
70,,26,163,506900,26163506900,5069,Census Tract 5069,G5020,S,1208312,0,+42.4368143,-083.0671656,Detroit,15452.42911,13004590.23
71,,26,163,506800,26163506800,5068,Census Tract 5068,G5020,S,1748868,0,+42.4438513,-083.0676404,Detroit,20149.18604,18822378.24
72,,26,163,506700,26163506700,5067,Census Tract 5067,G5020,S,935177,0,+42.4441868,-083.0465810,Detroit,12974.31059,10064932.85
73,,26,163,506600,26163506600,5066,Census Tract 5066,G5020,S,1236920,0,+42.4370474,-083.0485200,Detroit,15419.55312,13312484.02
74,,26,163,506500,26163506500,5065,Census Tract 5065,G5020,S,955943,0,+42.4298760,-083.0459797,Detroit,13065.64015,10288511.87
75,,26,163,506400,26163506400,5064,Census Tract 5064,G5020,S,1824590,0,+42.4225996,-083.0523153,Detroit,20569.32073,19637390.33
76,,26,163,546800,26163546800,5468,Census Tract 5468,G5020,S,1300241,0,+42.3697567,-083.2297901,Detroit,17422.80812,13994263.03
77,,26,163,546700,26163546700,5467,Census Tract 5467,G5020,S,1278386,0,+42.3613063,-083.2262460,Detroit,15810.50625,13759127.66
78,,26,163,546600,26163546600,5466,Census Tract 5466,G5020,S,725856,0,+42.3610566,-083.2415451,Detroit,11203.33,7812280.116
79,,26,163,546500,26163546500,5465,Census Tract 5465,G5020,S,659195,0,+42.3682497,-083.2411333,Detroit,10643.0194,7094806.497
80,,26,163,546400,26163546400,5464,Census Tract 5464,G5020,S,650476,0,+42.3754399,-083.2413545,Detroit,10496.75058,7000936.315
81,,26,163,546300,26163546300,5463,Census Tract 5463,G5020,S,3878646,44983,+42.3664397,-083.2586109,Detroit,26750.59542,42229274.98
82,,26,163,546100,26163546100,5461,Census Tract 5461,G5020,S,1265971,0,+42.3508568,-083.2405854,Detroit,16001.27619,13625468.45
83,,26,163,546000,26163546000,5460,Census Tract 5460,G5020,S,1279812,0,+42.3540965,-083.2261440,Detroit,15703.92568,13774424.2
84,,26,163,545900,26163545900,5459,Census Tract 5459,G5020,S,1265294,0,+42.3468695,-083.2259311,Detroit,15642.69227,13618256.16
85,,26,163,545800,26163545800,5458,Census Tract 5458,G5020,S,1448105,0,+42.3396092,-083.2268502,Detroit,17112.77953,15585871.77
86,,26,163,545700,26163545700,5457,Census Tract 5457,G5020,S,1093578,0,+42.3328249,-083.2242628,Detroit,16466.1799,11770082.56
87,,26,163,545600,26163545600,5456,Census Tract 5456,G5020,S,1316856,0,+42.3399009,-083.2060508,Detroit,16061.62711,14173217.5
88,,26,163,545500,26163545500,5455,Census Tract 5455,G5020,S,1318294,0,+42.3471339,-083.2064028,Detroit,16033.0686,14188648.83
89,,26,163,545400,26163545400,5454,Census Tract 5454,G5020,S,1305955,0,+42.3543681,-083.2066365,Detroit,15934.57589,14055827.39
90,,26,163,522400,26163522400,5224,Census Tract 5224,G5020,S,959049,0,+42.3609881,-083.0833636,Detroit,13818.29867,10322100.53
91,,26,163,533900,26163533900,5339,Census Tract 5339,G5020,S,1353343,0,+42.3685171,-083.0774349,Detroit,16898.13401,14565764.67
92,,26,163,524900,26163524900,5249,Census Tract 5249,G5020,S,3652752,265454,+42.2904837,-083.1246926,Detroit,30915.99566,42172091.77
93,,26,163,506300,26163506300,5063,Census Tract 5063,G5020,S,1941719,0,+42.4265859,-083.0313176,Detroit,18452.87966,20898057.63
94,,26,163,506200,26163506200,5062,Census Tract 5062,G5020,S,983484,0,+42.4374798,-083.0316910,Detroit,13233.63784,10584830.55
95,,26,163,506100,26163506100,5061,Census Tract 5061,G5020,S,922606,0,+42.4445674,-083.0320133,Detroit,12992.70162,9929654.286
96,,26,163,505200,26163505200,5052,Census Tract 5052,G5020,S,1065967,0,+42.4138010,-083.0035037,Detroit,16151.2828,11472682.52
97,,26,163,505100,26163505100,5051,Census Tract 5051,G5020,S,2147647,0,+42.4403465,-083.0179417,Detroit,24412.09019,23114328.88
98,,26,163,505000,26163505000,5050,Census Tract 5050,G5020,S,758140,0,+42.4391006,-083.0087283,Detroit,14664.1549,8159541.009
99,,26,163,504900,26163504900,5049,Census Tract 5049,G5020,S,2249050,0,+42.4263378,-083.0129968,Detroit,19615.16838,24205655.65
100,,26,163,504800,26163504800,5048,Census Tract 5048,G5020,S,3159508,0,+42.4089695,-083.0133701,Detroit,24551.31874,34004861.06
101,,26,163,504700,26163504700,5047,Census Tract 5047,G5020,S,1311772,0,+42.3941500,-083.0172716,Detroit,16173.27232,14118264.76
102,,26,163,504400,26163504400,5044,Census Tract 5044,G5020,S,969533,0,+42.4030542,-082.9892425,Detroit,13361.6696,10434862.08
103,,26,163,504300,26163504300,5043,Census Tract 5043,G5020,S,946108,0,+42.4055763,-082.9803156,Detroit,13358.28036,10182720.98
104,,26,163,504200,26163504200,5042,Census Tract 5042,G5020,S,1007001,0,+42.4081498,-082.9717558,Detroit,13658.31448,10838122.26
105,,26,163,545300,26163545300,5453,Census Tract 5453,G5020,S,1283067,0,+42.3616038,-083.2068681,Detroit,15854.55623,13809473.65
106,,26,163,545200,26163545200,5452,Census Tract 5452,G5020,S,1254532,0,+42.3688227,-083.2069235,Detroit,15483.81303,13502301.97
107,,26,163,545100,26163545100,5451,Census Tract 5451,G5020,S,1150195,0,+42.3757244,-083.2071726,Detroit,15075.09463,12379328.14
108,,26,163,544300,26163544300,5443,Census Tract 5443,G5020,S,1915273,0,+42.4086903,-083.2749743,Detroit,21664.88075,20613478.33
109,,26,163,544200,26163544200,5442,Census Tract 5442,G5020,S,1277816,0,+42.4073688,-083.2619700,Detroit,15912.66705,13752791.16
110,,26,163,544100,26163544100,5441,Census Tract 5441,G5020,S,1844070,0,+42.3929346,-083.2685039,Detroit,18149.58126,19847224.37
111,,26,163,544000,26163544000,5440,Census Tract 5440,G5020,S,1009307,0,+42.3823964,-083.2671854,Detroit,15097.37368,10862953.53
112,,26,163,543900,26163543900,5439,Census Tract 5439,G5020,S,1261533,0,+42.3819469,-083.2493385,Detroit,16982.63062,13577581.74
129,,26,163,501800,26163501800,5018,Census Tract 5018,G5020,S,1440312,0,+42.3983391,-082.9316723,Detroit,15943.75253,15501798.65
130,,26,163,501700,26163501700,5017,Census Tract 5017,G5020,S,1199562,0,+42.4042423,-082.9212936,Detroit,16733.23897,12910631.17
131,,26,163,501600,26163501600,5016,Census Tract 5016,G5020,S,1213127,0,+42.4129132,-082.9207524,Detroit,18504.45978,13056593.36
132,,26,163,546200,26163546200,5462,Census Tract 5462,G5020,S,2713585,39555,+42.3464216,-083.2528230,Detroit,22843.30087,29631689.88
133,,26,163,543200,26163543200,5432,Census Tract 5432,G5020,S,1285880,0,+42.4112995,-083.2475927,Detroit,16229.85107,13839528.75
134,,26,163,543100,26163543100,5431,Census Tract 5431,G5020,S,948981,0,+42.4126595,-083.2284219,Detroit,14266.2054,10213591.48
135,,26,163,543000,26163543000,5430,Census Tract 5430,G5020,S,928236,0,+42.4068106,-083.2257349,Detroit,14875.97704,9990298.372
136,,26,163,542900,26163542900,5429,Census Tract 5429,G5020,S,1301945,0,+42.3988392,-083.2260719,Detroit,15618.96559,14012505.1
137,,26,163,542800,26163542800,5428,Census Tract 5428,G5020,S,875543,0,+42.3901406,-083.2243491,Detroit,12414.2666,9423223.836
138,,26,163,542700,26163542700,5427,Census Tract 5427,G5020,S,1414948,0,+42.3824612,-083.2268100,Detroit,15821.03502,15228726.64
139,,26,163,542600,26163542600,5426,Census Tract 5426,G5020,S,1379720,0,+42.3829687,-083.2077387,Detroit,16089.55341,14849614.58
140,,26,163,542500,26163542500,5425,Census Tract 5425,G5020,S,1057002,0,+42.3927935,-083.2132702,Detroit,14335.59712,11376277.04
141,,26,163,542400,26163542400,5424,Census Tract 5424,G5020,S,685968,0,+42.3908903,-083.2036174,Detroit,11257.51527,7382900.922
142,,26,163,542300,26163542300,5423,Census Tract 5423,G5020,S,828296,0,+42.3984056,-083.2054071,Detroit,14769.46379,8914719.535
143,,26,163,542200,26163542200,5422,Census Tract 5422,G5020,S,1300783,0,+42.4049237,-083.2086673,Detroit,15910.72209,13999953.9
144,,26,163,542100,26163542100,5421,Census Tract 5421,G5020,S,1299552,0,+42.4121468,-083.2090072,Detroit,15878.88669,13986668.79
145,,26,163,541800,26163541800,5418,Census Tract 5418,G5020,S,1202986,0,+42.4356241,-083.2828630,Detroit,15490.77603,12947295.3
146,,26,163,512200,26163512200,5122,Census Tract 5122,G5020,S,1333956,0,+42.3953197,-082.9768484,Detroit,14993.98367,14357125.62
147,,26,163,985500,26163985500,9855,Census Tract 9855,G5020,S,3397894,3081417,+42.3418558,-082.9781710,Detroit,38747.03084,69736727.15
148,,26,163,517300,26163517300,5173,Census Tract 5173,G5020,S,839443,0,+42.3456895,-083.0505419,Detroit,11875.11846,9034784.392
